Date,Sentiment,City,State
2020-01-21,0,Larkfield, CA
2020-01-30,0,Manhattan, NY
2020-01-30,0,Houston, TX
2020-02-03,0,Los Angeles, CA
2020-02-06,2.5,Washington, DC
2020-02-26,0.5,Alexandria, VA
2020-02-28,-0.5,Colorado, USA
2020-02-28,2.0,Morgantown, WV
2020-03-03,-0.5,Henderson, NV
2020-03-13,0.5,Eagan, MN
2020-03-13,-2,Arizona, USA
2020-03-13,0.0,Georgia, USA
2020-03-13,0.0,Lenexa, KS
2020-03-13,0.5,Manhattan, NY
2020-03-13,1.0,Bronx, NY
2020-03-13,-2.5,Washington, DC
2020-03-13,-2.0,Austin, TX
2020-03-13,1,Merced, CA
2020-03-13,-0.5,San Lorenzo, CA
2020-03-13,-2,Grand Prairie, TX
2020-03-13,0,Washington, DC
2020-03-14,1.5,Chinatown, Manhattan
2020-03-14,0,Cathedral City, CA
2020-03-14,-3.0,Bedford, MA
2020-03-14,2.0,Lansing, NY
2020-03-14,0.5,Brooklyn, NY
2020-03-15,0.5,Lowell, MA
2020-03-15,1.5,Five Points, OH
2020-03-15,-1.0,Fairfield, CT
2020-03-15,0.0,Kenmore, NY
2020-03-16,1.0,Boston, MA
2020-03-17,-0.5,Fremont, CA
2020-03-17,-2.5,Chantilly, VA
2020-03-17,-2.0,Austin, TX
2020-03-17,-2.0,Austin, TX
2020-03-17,-0.5,El Paso, TX
2020-03-17,-2.0,Austin, TX
2020-03-17,-0.5,Missouri, USA
2020-03-17,-0.5,Riverside, CA
2020-03-17,1,Manhattan, NY
2020-03-17,0.5,Washington, DC
2020-03-17,-0.5,Wisconsin, USA
2020-03-17,-3.0,Milwaukee, WI
2020-03-17,1.0,Milton, GA
2020-03-17,1,Houston, TX
2020-03-17,1.0,Westminster, CA
2020-03-17,0.5,Alameda, CA
2020-03-18,-0.5,Hoboken, NJ
2020-03-18,0,South Carolina, USA
2020-03-18,0,Santa Monica, CA
2020-03-18,0,Grand Rapids, MI
2020-03-18,0.5,Los Angeles, CA
2020-03-18,0,Chicago, IL
2020-03-18,0.5,Manhattan, NY
2020-03-18,1.0,Columbus, OH
2020-03-18,1.0,Columbus, OH
2020-03-18,1.0,Columbus, OH
2020-03-19,1.5,North Carolina, USA
2020-03-19,1.5,Los Angeles, CA
2020-03-19,-1.5,Buckeye, AZ
2020-03-19,1.0,Austin, TX
2020-03-19,0,Chicago, IL
2020-03-19,0,Seattle, WA
2020-03-19,1,Memphis, TN
2020-03-19,0,Bayview, San Francisco
2020-03-19,-3.5,Lewisville, TX
2020-03-20,0,Little Rock, AR
2020-03-20,2.0,Durham, NC
2020-03-20,2.0,Brooklyn, NY
2020-03-20,-0.5,Urbandale, IA
2020-03-20,-1.0,Manhattan, NY
2020-03-20,0.5,Charlotte, NC
2020-03-20,-0.5,Reston, VA
2020-03-20,-1.0,Wisconsin, USA
2020-03-20,1.0,Minneapolis, MN
